run_id,map,strategy,seed,ticks,rescued,deaths,avg_rescue_time,fires_extinguished,roads_cleared,energy_used,tool_calls,invalid_json,replans,hospital_overflow_events
batch_1000_map_small_react,map_small,react,1000,100,0,0,0.0,0,0,0,0,0,0,0
batch_1001_map_small_react,map_small,react,1001,100,0,0,0.0,0,0,0,0,0,0,0
batch_1002_map_small_react,map_small,react,1002,100,0,0,0.0,0,0,0,0,0,0,0
batch_1003_map_small_react,map_small,react,1003,100,0,0,0.0,0,0,0,0,0,0,0
batch_1004_map_small_react,map_small,react,1004,100,0,0,0.0,0,0,0,0,0,0,0
batch_1000_map_small_reflexion,map_small,reflexion,1000,100,0,0,0.0,0,0,0,0,0,0,0
batch_1001_map_small_reflexion,map_small,reflexion,1001,100,0,0,0.0,0,0,0,0,0,0,0
batch_1002_map_small_reflexion,map_small,reflexion,1002,100,0,0,0.0,0,0,0,0,0,0,0
batch_1003_map_small_reflexion,map_small,reflexion,1003,100,0,0,0.0,0,0,0,0,0,0,0
batch_1004_map_small_reflexion,map_small,reflexion,1004,100,0,0,0.0,0,0,0,0,0,0,0
batch_1000_map_small_cot,map_small,cot,1000,100,0,0,0.0,0,0,0,0,0,0,0
batch_1001_map_small_cot,map_small,cot,1001,100,0,0,0.0,0,0,0,0,0,0,0
batch_1002_map_small_cot,map_small,cot,1002,100,0,0,0.0,0,0,0,0,0,0,0
batch_1003_map_small_cot,map_small,cot,1003,100,0,0,0.0,0,0,0,0,0,0,0
batch_1004_map_small_cot,map_small,cot,1004,100,0,0,0.0,0,0,0,0,0,0,0
